Date,ACOS,CPA,Budget,Remarques
2026-05-15,18.5%,€11.20,€42.35,Bon
2026-05-14,19.2%,€11.45,€40.20,Normal
2026-05-13,17.8%,€10.85,€43.50,Excellent
2026-05-12,19.1%,€11.38,€40.80,Normal
2026-05-11,18.9%,€11.30,€41.20,Bon
2026-05-10,17.9%,€10.92,€43.10,Excellent
2026-05-09,20.4%,€12.15,€38.90,Faible
2026-05-08,18.7%,€11.22,€42.00,Bon
2026-05-07,18.9%,€11.28,€41.80,Bon
2026-05-06,19.2%,€11.42,€40.60,Normal
2026-05-05,18.6%,€11.18,€42.15,Bon
2026-05-04,17.6%,€10.78,€43.75,Excellent
2026-05-03,20.2%,€12.05,€39.30,Faible
2026-05-02,18.8%,€11.25,€41.95,Bon
2026-05-01,18.0%,€10.90,€43.40,Excellent
